time,bus,t2m,u10,v10,ssrd,blh,T_a,v_wind,solar_W,BLH,VI,MDI
2025-07-04 00:00:00,15,287.99577639572647,2.817574883438347,-0.6555746419718735,259778.108886645,520.0474273960068,14.845776395726489,2.8928370737010343,72.16058580184584,520.0474273960068,1504.4124780540153,0.11551486152833661
2025-07-04 00:00:00,16,291.7533944171866,1.3861610960816533,-0.010692075503338255,255511.74247662595,373.262574621226,18.60339441718662,1.3862023318292533,70.97548402128498,373.262574621226,517.4174513245342,0.03972940009073258
2025-07-04 00:00:00,17,294.59116954669713,1.2955410298121959,-2.012623487644668,234156.9379561847,455.8867189452625,21.441169546697154,2.3935496366162603,65.04359387671798,455.8867189452625,1091.1874904696122,0.08378577930043242
2025-07-04 00:00:00,18,289.59976984345883,2.582928267835601,-0.43164583298833786,253377.91266598392,523.8036186999523,16.449769843458853,2.6187471359259593,70.38275351832887,523.8036186999523,1371.7092262581532,0.10532537029559465
2025-07-04 00:00:00,19,291.2249393146664,2.6803334689784695,-0.8104104423054748,303840.3424787685,976.7533497590306,18.074939314666437,2.800170100176757,84.40009513299125,976.7533497590306,2735.075525242728,0.210010136964985
2025-07-04 00:00:00,20,288.69794105062135,2.563939094935123,0.7353561358198331,255248.6436161554,403.07156715223454,15.547941050621375,2.6673080678887873,70.90240100448761,403.07156715223454,1075.1160430017324,0.08255174870317662
2025-07-04 00:00:00,21,291.7423702791475,2.8685375138126608,-0.20110522067301062,201755.1112259212,338.63202917233536,18.59237027914753,2.875578337992631,56.043086451644776,338.63202917233536,973.7629276384563,0.0747694474676813
2025-07-04 00:00:00,22,290.7629718044523,2.035095366218348,-0.8740957625022705,166517.70871770347,403.2428875828191,17.612971804452343,2.214871678365999,46.254919088250965,403.2428875828191,893.1312512097104,0.06857822194054909
2025-07-04 00:00:00,23,288.8970416265022,2.5603209640241222,0.2950794157721251,225873.80196378665,383.0895779884213,15.74704162650221,2.5772689616013746,62.74272276771851,383.0895779884213,987.3248788625274,0.0758107888155868
2025-07-04 00:00:00,24,295.86404226936816,6.725499673433724,-0.771702940342068,235039.52126575581,218.01716716635664,22.71404226936818,6.769628592876401,65.2887559071544,218.01716716635664,1475.8952485872821,0.11332519356089024
